opcode,tags
aaa,ascii adjust byte add
aad,ascii adjust word div
aam,ascii adjust word mul
aas,ascii adjust byte sub
adc,add carry arithmetic
add,add arithmetic
and,logical and
call,call procedure push stack control
cbw,convert byte word
clc,clear carry flag
cld,clear direction flag
cli,clear interrupt flag
cmc,complement carry flag
cmp,compare
cmpsb,compare byte mem
cmpsw,compare word mem
cwd,convert word dword
daa,adjust bcd byte add arithmetic
das,adjust bcd byte sub arithmetic
dec,decrement by 1,,"0x48…0x4f, 0xfe/1, 0xff/1"
div,unsigned divide,dx:ax = dx:ax / r/m; resulting dx == remainder,"0xf6/6, 0xf7/6"
esc,used with floating-point unit,,0xd8..0xdf
hlt,enter halt state,,0xf4
idiv,signed divide,dx:ax = dx:ax / r/m; resulting dx == remainder,"0xf6/7, 0xf7/7"
imul,signed multiply,(1) dx:ax = ax * r/m; (2) ax = al * r/m,"0x69, 0x6b (both since 80186), 0xf6/5, 0xf7/5, 0x0faf (since 80386)"
in,input from port,(1) al = port[imm]; (2) al = port[dx]; (3) ax = port[imm]; (4) ax = port[dx];,"0xe4, 0xe5, 0xec, 0xed"
inc,increment by 1,,"0x40…0x47, 0xfe/0, 0xff/0"
int,call to interrupt,,"0xcc, 0xcd"
into,call to interrupt if overflow,,0xce
iret,return from interrupt,,0xcf
jcc,jump if condition,"(ja, jae, jb, jbe, jc, je, jg, jge, jl, jle, jna, jnae, jnb, jnbe, jnc, jne, jng, jnge, jnl, jnle, jno, jnp, jns, jnz, jo, jp, jpe, jpo, js, jz)","0x70…0x7f, 0x0f80…0x0f8f (since 80386)"
jcxz,jump if cx is zero,,0xe3
jmp,jump,,"0xe9…0xeb, 0xff/4, 0xff/5"
lahf,load flags into ah register,,0x9f
lds,load pointer using ds,,0xc5
lea,load effective address,,0x8d
les,load es with pointer,,0xc4
lock,assert bus lock# signal,(for multiprocessing),0xf0
lodsb,load string byte,if (df==0) al = *si++; else al = *si--;,0xac
lodsw,load string word,if (df==0) ax = *si++; else ax = *si--;,0xad
loop/loopx,loop control,"(loope, loopne, loopnz, loopz) if (x && --cx) goto lbl;",0xe0…0xe2
mov,move,"copies data from one location to another, (1) r/m = r; (2) r = r/m;",0xa0...0xa3
movsb,move byte from string to string,if (df==0)    *(byte*)di++ = *(byte*)si++;  else    *(byte*)di-- = *(byte*)si--;,0xa4
movsw,move word from string to string,if (df==0)    *(word*)di++ = *(word*)si++;  else    *(word*)di-- = *(word*)si--;,0xa5
mul,unsigned multiply,(1) dx:ax = ax * r/m; (2) ax = al * r/m;,0xf6/4…0xf7/4
neg,two's complement negation,r/m *= -1;,0xf6/3…0xf7/3
nop,no operation,"opcode equivalent to xchg eax, eax",0x90
not,"negate the operand, logical not",r/m ^= -1;,0xf6/2…0xf7/2
or,logical or,(1) r/m |= r/imm; (2) r |= m/imm;,"0x08…0x0d, 0x80…0x83/1"
out,output to port,(1) port[imm] = al; (2) port[dx] = al; (3) port[imm] = ax; (4) port[dx] = ax;,"0xe6, 0xe7, 0xee, 0xef"
pop,pop data from stack,r/m = *sp++; pop cs (opcode 0x0f) works only on 8086/8088. later cpus use 0x0f as a prefix for newer instructions.,"0x07, 0x0f(8086/8088 only), 0x17, 0x1f, 0x58…0x5f, 0x8f/0"
popf,pop flags register from stack,flags = *sp++;,0x9d
push,push data onto stack,*--sp = r/m;,"0x06, 0x0e, 0x16, 0x1e, 0x50…0x57, 0x68, 0x6a (both since 80186), 0xff/6"
pushf,push flags onto stack,*--sp = flags;,0x9c
rcl,rotate left (with carry),,"0xc0…0xc1/2 (since 80186), 0xd0…0xd3/2"
rcr,rotate right (with carry),,"0xc0…0xc1/3 (since 80186), 0xd0…0xd3/3"
repxx,repeat movs/stos/cmps/lods/scas,"(rep, repe, repne, repnz, repz)","0xf2, 0xf3"
ret,return from procedure,not a real instruction. the assembler will translate these to a retn or a retf depending on the memory model of the target system.,
retn,return from near procedure,,"0xc2, 0xc3"
